,SLOAD_B,SSTORE_B,BLOAD_B,BSTORE_B,OverAll_B,Avg_B,Sum_B,Storage_B,LOAD_B,STORE_B,SLOAD_O,SSTORE_O,BLOAD_O,BSTORE_O,OverAll_O,Avg_O,Sum_O,Storage_O,LOAD_O,STORE_O,Diff_Sum,RatioSum,Diff_Storage,RatioStorage,Diff_LOAD,RatioLOAD,Diff_STORE,RatioSTORE,Diff_OverAll,RatioOvarall,Diff_OverAllR50,RatioOvarallR50
BaseSampleV100,251222.95833333334,244212.4375,0.0,0.0,3940688.0833333335,4294966.74,8731090.219166666,495435.3958333334,251222.95833333334,244212.4375,26928.56,30225.98,55497.28,41714.32,3180950.76,3180950.76,6516267.66,57154.54,82425.84,71940.3,-2214822.559166666,-0.2536707906539143,-438280.8558333334,-0.8846377540226718,-168797.11833333335,-0.6719016424819189,-172272.1375,-0.7054191803806061,-1114015.9800000004,-0.25937709124145636,-759737.3233333337,-0.1927930623452669
BaseSampleV500,1281698.44,1117754.08,0.0,0.0,19934628.34,19934628.34,42268709.2,2399452.52,1281698.44,1117754.08,26744.6,32112.34,269076.48,203486.3,15392988.24,15392988.24,31317396.200000003,58856.94,295821.07999999996,235598.63999999998,-10951313.0,-0.2590879448951803,-2340595.58,-0.9754706794531612,-985877.36,-0.7691960364717304,-882155.4400000001,-0.7892214001133415,-4541640.1,-0.2278266753981529,-4541640.1,-0.2278266753981529
BaseSampleV1000,2541832.12,2204062.66,0.0,0.0,39434323.44,39434323.44,83614541.66,4745894.78,2541832.12,2204062.66,26860.46,34315.22,535225.4,404213.38,31603979.2,31603979.2,64208572.86,61175.68,562085.86,438528.6,-19405968.799999997,-0.23208844316709967,-4684719.100000001,-0.9871097690033491,-1979746.2600000002,-0.7788658599530169,-1765534.06,-0.8010362373272999,-7830344.239999998,-0.19856671947000692,-7830344.239999998,-0.19856671947000692
BaseSampleV1500,3600143.94,4127010.38,0.0,0.0,60697110.58,60697110.58,129121375.48,7727154.32,3600143.94,4127010.38,26738.1,33486.76,789653.66,603119.0,46580672.5,46580672.5,94614342.52000001,60224.86,816391.76,636605.76,-34507032.95999999,-0.26724493006461886,-7666929.46,-0.9922060751596326,-2783752.1799999997,-0.7732335779885511,-3490404.62,-0.8457465086385366,-14116438.079999998,-0.23257182994558287,-14116438.079999998,-0.23257182994558287
BaseSampleV2000,4937843.08,5822541.36,0.0,0.0,82126646.18,82126646.18,175013676.8,10760384.440000001,4937843.08,5822541.36,27526.46,33804.42,1059270.42,805857.68,63593909.34,63593909.34,129114277.66,61330.88,1086796.88,839662.1000000001,-45899399.140000015,-0.26226178421731217,-10699053.56,-0.9943003077313843,-3851046.2,-0.7799045327297035,-4982879.26,-0.8557911317267138,-18532736.840000004,-0.22566046103211276,-18532736.840000004,-0.22566046103211276
BaseSampleV2500,5482031.64,7033994.74,0.0,0.0,102983485.54,102983485.54,218482997.46,12516026.379999999,5482031.64,7033994.74,28015.3,34078.08,1367161.84,1043601.2,78208570.6,78208570.6,158889997.62,62093.380000000005,1395177.1400000001,1077679.28,-59592999.84,-0.2727580659950911,-12453932.999999998,-0.9950388902903542,-4086854.4999999995,-0.7454999840168745,-5956315.46,-0.8467898655266836,-24774914.940000013,-0.24057172671998114,-24774914.940000013,-0.24057172671998114
BaseSampleV3000,6537383.8,7412979.58,0.0,0.0,120085132.54,120085132.54,254120628.46,13950363.379999999,6537383.8,7412979.58,27371.64,33387.86,1804671.94,1418353.12,94939507.08,94939507.08,193162798.72,60759.5,1832043.5799999998,1451740.9800000002,-60957829.74000001,-0.2398775341829249,-13889603.879999999,-0.9956445937396077,-4705340.22,-0.7197589072252419,-5961238.6,-0.8041622853087638,-25145625.46000001,-0.20939832374023548,-25145625.46000001,-0.20939832374023548
