,SLOAD_B,SSTORE_B,BLOAD_B,BSTORE_B,OverAll_B,Avg_B,Sum_B,Storage_B,LOAD_B,STORE_B,SLOAD_O,SSTORE_O,BLOAD_O,BSTORE_O,OverAll_O,Avg_O,Sum_O,Storage_O,LOAD_O,STORE_O,Diff_Sum,RatioSum,Diff_Storage,RatioStorage,Diff_LOAD,RatioLOAD,Diff_STORE,RatioSTORE,Diff_OverAll,RatioOvarall,Diff_OverAllR50,RatioOvarallR50
DispatchContractV1000,445971.45,249128.1,0.0,0.0,5900321.55,5900321.55,12495742.649999999,695099.55,445971.45,249128.1,81733.0,31270.25,114838.05,50282.35,3640315.2,3640315.2,7558754.050000001,113003.25,196571.05,81552.6,-4936988.599999998,-0.39509365215680065,-582096.3,-0.8374286819779987,-249400.40000000002,-0.5592295201856532,-167575.5,-0.672647926909891,-2260006.3499999996,-0.38303104853666825,-2260006.3499999996,-0.38303104853666825
DispatchContractV1500,582882.3,402305.95,0.0,0.0,8091663.15,8091663.15,17168514.55,985188.25,582882.3,402305.95,86908.84210526316,26575.684210526317,166854.05263157896,71189.63157894737,5103515.263157895,5615096.65,11070140.12368421,113484.52631578948,253762.89473684214,97765.3157894737,-6098374.42631579,-0.35520687643391896,-871703.7236842106,-0.8848092978009132,-329119.4052631579,-0.5646412753709589,-304540.6342105263,-0.7569876463684574,-2476566.5,-0.30606396411842723,-2988147.8868421055,-0.3692872319879141
DispatchContractV2000,755167.1764705882,487182.9411764706,0.0,0.0,10566456.588235294,12112827.2,23921633.90588235,1242350.1176470588,755167.1764705882,487182.9411764706,76897.1,27555.0,215001.5,90185.9,6336380.95,6336380.95,13082401.4,104452.1,291898.6,117740.9,-10839232.50588235,-0.45311422073125923,-1137898.0176470587,-0.9159237814555639,-463268.5764705882,-0.6134649265818976,-369442.0411764706,-0.7583230239637,-5776446.249999999,-0.47688670486441015,-4230075.638235294,-0.4003305746739229
DispatchContractV2500,882597.5789473684,589593.2105263158,0.0,0.0,12556868.52631579,13061233.65,27090292.965789475,1472190.7894736843,882597.5789473684,589593.2105263158,81596.15,30121.55,269008.45,110383.65,7770722.85,7770722.85,16032555.5,111717.7,350604.6,140505.19999999998,-11057737.465789475,-0.4081808003978973,-1360473.0894736843,-0.924114659051807,-531992.9789473685,-0.602758257712253,-449088.0105263159,-0.761691285633065,-5290510.800000001,-0.4050544490489228,-4786145.67631579,-0.38115758449531645
DispatchContractV3000,1040702.8235294118,677826.4117647059,0.0,0.0,14900795.176470589,16566365.85,33185690.261764705,1718529.2352941176,1040702.8235294118,677826.4117647059,80643.875,28850.25,316583.3125,130998.125,9092397.375,11110982.95,20760455.8875,109494.125,397227.1875,159848.375,-12425234.374264706,-0.3744154265364367,-1609035.1102941176,-0.9362861435515465,-643475.6360294118,-0.6183087251047765,-517978.0367647059,-0.764175056879477,-5455382.9,-0.3293047460979501,-5808397.801470589,-0.38980455289006727
DispatchContractV3500,1203208.15,816898.75,0.0,0.0,18721759.85,18721759.85,39463626.6,2020106.9,1203208.15,816898.75,80472.63157894737,28214.63157894737,370253.0,152129.0,10469220.52631579,10962973.4,22063263.189473685,108687.26315789475,450725.63157894736,180343.63157894736,-17400363.410526317,-0.4409215500363141,-1911419.636842105,-0.9461972714622702,-752482.5184210525,-0.6253967930827701,-636555.1184210526,-0.7792338015219789,-7758786.450000001,-0.4144261283214783,-8252539.323684212,-0.44079933669719684
DispatchContractV500,273091.05,156891.45,0.0,0.0,3481236.5,3481236.5,7392455.5,429982.5,273091.05,156891.45,77875.95,50785.6,63832.75,30463.8,2339772.15,2339772.15,4902502.4,128661.54999999999,141708.7,81249.4,-2489953.0999999996,-0.33682354936056086,-301320.95,-0.7007749152581791,-131382.34999999998,-0.4810935766660972,-75642.05000000002,-0.4821298420022252,-1141464.35,-0.32789049235810325,-1141464.35,-0.32789049235810325
